"source","target","value"
"new york","male",72
"new york","female",64
"germany","male",60
"israel","male",58
"new york city","female",56
"russia","male",43
"california","male",41
"italy","male",41
"new jersey","female",40
"new jersey","male",40
"brooklyn, ny","female",35
"connecticut","female",29
"san francisco","male",29
"california","female",28
"chicago","male",28
"miami","male",25
"chile","female",22
"genova, italy","male",22
"san diego","female",22
"uk","male",22
"budapest","male",21
"mexico","male",21
"taiwan","female",21
"texas","female",21
"toronto","female",21
"warsaw, poland","female",21
"washington, dc","male",21
"baltimore","male",20
"colombia","male",20
"france","male",20
"midwest usa","male",20
"russia/germany","male",20
"sweden","male",20
"houston","male",19
"spain","male",19
